Bite,Bloodstone,Book,Box,Cat,Crystal Ball,Dog,Girl,Holy Symbol,Key,Letter,Madman,Mask,Medallion,Photograph,Ring,Rope,Skull,Spear,Spirit Board,Vial
Abondoned Room,18,96,7,63,88,12,38,1,9,96,100,45,42,49,96,28,86,34,43,48,96
Balcony,24,67,7,63,88,32,5,16,6,90,87,11,25,49,89,20,71,47,39,2 ,70
Catacombs,4,59,7,61,88,23,46,1,13,53,83,10,25,49,94,41,69,37,43,48,91
Charred Room,24,79,33,63,*,23,38,30,13,*,83,31,48,44,*,20,69,37,43,48,91
Dining Room,24,67,3 ,99,60,27,5,16,6,90,54,45,42,21,89,20,82,37,39,40,91
Dungeon,97,55,55,61,55,84,72,55,66,53,100,56,55,77,89,85,69,73,65,64,80
Furnace Room,4,59,33,61,75,32,38,30,13,75,83,10,42,36,75,28,75,34,15,2,91
Gallery,18,79,3,52,88,19,19,19,22,53,54,10,25,36,76,41,71,37,15,8,70
Gymnasium,35,79,29,52,92,12,46,1,22,92,100,11,22,21,92,41,86,47,43,48,92
Junk Room,4,79,33,52,88,27,46,1,9,68,100,11,25,44,76,17,71,17,17,40,91
Kitchen,18,67,3,99,60,23,46,16,22,53,87,31,32,36,89,41,82,37,39,2,80
Master Bedroom,35,98,29,98,98,27,5,16,6,90,54,0,35,44,76,20,82,47,43,2,98
Nursery,74,67,95,99,74,84,72,58,66,68,87,74,74,95,95,85,86,73,65,95,80
Pentagram Chamber,26,59,50,61,81,32,50,26,26,81,83,45,14,14,94,26,81,14,50,40,81
Rookery,97,93,93,57,57,93,57,58,66,93,87,56,57,77,94,85,86,73,65,64,70
Servants' Quaters,35,59,29,52,60,12,5,30,9,68,54,31,42,21,94,28,71,34,15,8,80
Study,97,59,78,99,78,84,72,58,78,90,78,56,78,77,76,85,82,73,65,64,70
Theater,97,62,51,63,60,84,72,58,66,68,51,56,62,77,51,51,69,62,62,64,62
